[7l--net/eth0- ----total-cpu-usage----
 recv  send|usr sys idl wai hiq siq
  32k 7012k|  1   1  97   1   0   0
  48k   11M|  1   2  97   0   0   0
  77k   19M|  1   2  97   0   0   0
 117k   30M|  2   3  95   0   0   0
 184k   49M|  3   4  94   0   0   0
 245k   65M|  2   3  95   0   0   0
 284k   54M|  2   2  94   1   0   0
 206k   53M|  2   3  94   0   0   0
 238k   59M|  2   3  95   0   0   0
 235k   58M|  1   4  95   0   0   0
 238k   60M|  2   3  94   0   0   0
 240k   60M|  2   4  94   0   0   0
 249k   63M|  2   3  93   1   0   0
 245k   62M|  3   3  94   0   0   0
 252k   64M|  2   4  94   0   0   0
 258k   64M|  2   3  95   0   0   0
 250k   64M|  2   4  94   0   0   0
 254k   64M|  2   3  95   0   0   0
 251k   64M|  3   3  93   1   0   0
 254k   65M|  2   3  95   0   0   0
 251k   64M|  3   3  94   0   0   0
 252k   66M|  3   3  94   0   0   0
 258k   65M|  3   3  94   0   0   0
 270k   68M|  2   3  95   0   0   0
 262k   68M|  2   4  93   1   0   0
 279k   72M|  2   4  93   0   0   0
 300k   74M|  3   4  93   0   0   0
 314k   78M| 19   5  76   0   0   1
 328k   82M| 22   6  70   0   0   1
 331k   82M| 25   4  69   0   0   2
 243k   59M| 24   5  69   2   0   1
 235k   64M|  1   3  96   0   0   1
 212k   55M|  2   2  97   0   0   0
 200k   53M|  8   3  88   0   0   0
 217k   59M| 18   3  79   0   0   0
 242k   45M|  1   1  98   0   0   0
 105k   22M|  1   1  97   2   0   0
  92k   23M|  1   1  98   0   0   0
  86k   22M|  1   1  98   0   0   0
  93k   24M| 14   1  85   0   0   0
  92k   24M| 23   1  75   0   0   1
  97k   25M|  0   2  98   1   0   0
  45k 6304k|  0   0  99   1   0   0
 559B    0 |  0   0 100   0   0   0
